date,n_finite_mu,n_invalid_mu,n_mega,n_gate_targets,share_binding,g_t,n_ow,n_ow_gated,min_gap_gated
2025-07-03,196,4,5,108,0.0,0.5663265306122449,13,0,0.00016178503394009792
2025-08-01,196,4,5,103,0.0,0.5408163265306123,16,0,0.0001472913978399716
2025-09-01,196,4,5,101,0.0,0.5357142857142857,17,0,0.0001989672242818704
2025-09-30,196,4,5,113,0.0,0.5918367346938775,16,0,0.00021919520597634768
2025-10-29,196,4,5,105,0.0,0.5561224489795918,19,0,5.3332602663138697e-05
2025-11-27,196,4,5,115,0.034782608695652174,0.6071428571428571,21,0,6.755388024144715e-11
2025-12-26,197,3,5,121,0.09917355371900827,0.6345177664974619,23,0,3.942701200243537e-13
2026-01-26,197,3,5,117,0.27350427350427353,0.6142131979695431,38,0,1.9231682218956436e-12
2026-02-24,199,1,4,119,0.33613445378151263,0.6080402010050251,33,0,2.707213793418095e-13
2026-03-25,199,1,4,125,0.448,0.6432160804020101,34,0,2.066229132235975e-13
2026-04-23,199,1,5,128,0.5078125,0.6582914572864321,34,0,4.0992816779938934e-13
2026-05-22,200,0,5,121,0.5206611570247934,0.625,40,0,5.830303687753835e-13
2026-06-22,200,0,3,116,0.7068965517241379,0.59,45,0,2.038091917455631e-13
2026-07-21,200,0,4,121,0.09090909090909091,0.615,37,0,2.261278837789593e-12
2026-08-19,200,0,5,125,0.048,0.63,29,0,3.6311145062972727e-13
