date,n_spike,n_up,n_down,mean_up,mean_down,spread,raw_ic,resid_ic
2022-01-17,23,13,10,-0.022268982819804613,-0.05231108285885798,0.030042100039053367,0.0780549420408428,0.0783371334306749
2022-02-15,87,46,41,-0.045314437093014207,-0.03542914909118774,-0.009885288001826469,-0.04537418380168919,-0.008832858295168746
2022-03-16,112,60,52,0.01340694474920415,0.01947794931868481,-0.0060710045694806584,-0.03983380692901488,-0.026803957545581233
2022-04-14,24,17,7,-0.06190550336684505,-0.045207280576920104,-0.016698222789924944,0.016051498489105795,0.02186897076992492
2022-05-13,78,40,38,-0.05172467686680905,-0.06063058271065859,0.008905905843849538,0.037843041300125085,0.0502403481933869
2022-06-13,33,13,20,-0.0023245957446324304,0.03494170182404672,-0.03726629756867915,-0.1571429318145558,-0.14524206497013276
2022-07-12,40,24,16,0.0826136937494924,0.09598725794604457,-0.013373564196552168,-0.05267593100569404,-0.1267947102124142
2022-08-10,31,16,15,-0.052306461045649136,-0.06589886974720861,0.013592408701559477,0.043084820555198404,0.0526790425463317
2022-09-08,5,3,2,-0.032604981680841104,-0.01773343679911077,-0.014871544881730335,-0.002911945267586962,-0.009830353986718447
2022-10-07,15,6,9,0.052928016702791146,0.047269489616702694,0.005658527086088452,0.034325114977988,0.02115389099264167
2022-11-07,50,26,24,0.06769265368591465,0.05990545147631901,0.0077872022095956395,0.036667575295440756,0.036049427124073476
2022-12-06,24,14,10,-0.01800022662953384,-0.011826732175400766,-0.006173494454133073,-0.07062456034406916,-0.06023075846287764
2023-01-04,4,2,2,0.3489625545002356,0.08057936722125225,0.26838318727898336,0.04133872506663726,0.028083876806987592
2023-02-02,23,12,11,-0.004819387710028831,-0.040746497587412576,0.03592710987738375,0.09106118164393394,0.08617696422645388
2023-03-03,18,7,11,0.022056411433782817,0.027807420916853166,-0.005751009483070349,0.01390393718009904,0.011310436934745672
2023-04-03,30,14,16,0.0051238224257708475,-0.003567198061912351,0.008691020487683198,0.03014249976204834,0.042462941995348086
2023-05-02,26,8,18,0.019182057138780004,0.06389735176403044,-0.04471529462525044,-0.08828733702279663,-0.0909426786390985
2023-05-31,30,16,14,0.06084211744669267,0.038751799681614234,0.022090317765078436,0.09701420362769592,0.09150489072333602
2023-06-29,14,6,8,0.02732616427984778,0.021136959420348836,0.0061892048594989445,0.016407082105554267,0.006084711244519599
2023-07-28,31,12,19,-0.043994889612170775,-0.02390941896355798,-0.020085470648612793,-0.06780216227994444,-0.06590195975922686
2023-08-28,23,19,4,-0.012518756005069043,-0.03708756572115632,0.024568809716087277,0.08380478024597847,0.09176447674932642
2023-09-26,8,3,5,-0.02802343162997915,-0.0027766739856178056,-0.025246757644361344,-0.03226254293994127,-0.021890708388661986
2023-10-25,30,14,16,0.08461277659929957,0.07817423489661052,0.006438541702689052,0.029162015632902306,0.031180415735786914
2023-11-23,43,22,21,0.043471372247903955,0.08479286618759677,-0.04132149393969281,-0.14087362983058613,-0.1413487585157103
2023-12-22,21,14,7,0.03254496240992815,-0.0063288904108873235,0.03887385282081547,0.05628945262553653,0.0488281603681529
2024-01-22,4,3,1,0.04238441265234597,0.004869481919055341,0.03751493073329063,0.0381380203292996,0.029109204525821598
2024-02-20,53,29,24,0.04539656727764874,0.038628624156879225,0.006767943120769518,0.05278832891948096,0.05033627023619499
2024-03-20,31,16,15,-0.01641312924520988,-0.020294401660362272,0.003881272415152393,0.012329366224330018,0.012508073911135582
2024-04-18,17,5,12,0.18189345822199346,0.06567269426590595,0.1162207639560875,0.08428121972706393,0.08241357280955086
2024-05-17,46,20,26,-0.0022916125735734983,0.007439240114123382,-0.00973085268769688,-0.050149223188434844,-0.07606207065218765
2024-06-17,39,19,20,0.035699952661947885,0.05354303155804622,-0.017843078896098333,-0.07609092550272664,-0.11034161855537407
2024-07-16,29,13,16,-0.09434219384269849,-0.015309156383553589,-0.07903303745914489,-0.15239921078621232,-0.1596371470395068
2024-08-14,100,55,45,0.01492811342351523,0.026692199072512503,-0.011764085648997273,-0.08922744157193628,-0.07570819986805052
2024-09-12,20,13,7,0.04464154365252696,0.05397876471389952,-0.00933722106137256,-0.0145269483882596,0.0017964392785064474
2024-10-11,26,9,17,-0.024118928680371354,-0.011364600210139852,-0.012754328470231502,0.04283036747666863,0.04084816132771839
2024-11-11,86,43,43,-0.0026808082998398077,0.020539751175722244,-0.023220559475562053,-0.08764634906379362,-0.08500595886168066
2024-12-10,35,20,15,-0.005675165932534804,-0.01899868975824089,0.013323523825706085,0.04278942929824715,0.01019604154314199
2025-01-08,9,2,7,0.08824568686987366,0.02981458316021698,0.05843110370965668,0.07466566790832933,0.06939414354233964
2025-02-06,80,37,43,-0.09354207221455066,0.006280363409581948,-0.09982243562413261,-0.2641073915579256,-0.1975221793041143
2025-03-07,57,25,32,-0.09668166519292307,-0.11704767264660111,0.020366007453678045,0.09631818653927696,0.10771879514766997
2025-04-07,68,24,44,0.16090960423019984,0.10818087526040636,0.052728728969793484,0.19004757969010788,0.12123603408605116
2025-05-06,75,33,42,0.05696391470673005,0.0340654482212866,0.02289846648544345,0.10352690674674525,0.11288561251889179
2025-06-04,16,7,9,0.055060582969804366,0.025017649421736184,0.030042933548068182,0.0703772197149618,0.06007119941430918
