date,n_spike,n_up,n_down,mean_up,mean_down,spread,raw_ic,resid_ic
2021-10-20,9,2,7,0.03943248106616648,0.015983641091502885,0.023448839974663595,0.04194312204003395,0.035509249806607295
2021-11-18,40,22,18,-0.05927007000180685,-0.007239208853421331,-0.05203086114838552,-0.14511626237036612,-0.14361898536799902
2021-12-17,59,26,33,-0.03484801481883485,0.053413050335931675,-0.08826106515476653,-0.3007686989296057,-0.3018189260776118
2022-01-17,23,10,13,-0.04341682603087669,-0.029110718841328688,-0.014306107189548,-0.009665242943535615,-0.009636367003587524
2022-02-15,87,40,47,-0.046489681545683816,-0.03569089270617018,-0.010798788839513636,-0.05868496665821393,-0.11037571074882573
2022-03-16,112,67,45,0.031682749575051274,-0.006788314933435019,0.038471064508486294,0.21117969447605608,0.16613852793734216
2022-04-14,24,15,9,-0.07234733593656187,-0.0315149424695976,-0.04083239346696427,-0.04859138107665231,-0.06501673054334278
2022-05-13,78,42,36,-0.04290440238280553,-0.07141567548887656,0.02851127310607103,0.13589559570743195,0.12349733645757643
2022-06-13,33,14,19,0.03245225470285953,0.011278038208456806,0.021174216494402723,0.05238283432358324,0.043371030509938124
2022-07-12,40,31,9,0.07154283208111673,0.1445218869566569,-0.07297905487554018,-0.22062358426775955,-0.21661613096579246
2022-08-10,31,16,15,-0.057887394984928675,-0.05994587354531043,0.0020584785603817574,0.02883076578814537,0.019460409003709028
2022-09-08,5,4,1,-0.01968554930247038,-0.05453962143086333,0.03485407212839295,0.09656070643563988,0.09480757780247984
2022-10-07,15,8,7,0.05981537224789843,0.03778150411198338,0.022033868135915048,0.036674782765527596,-0.00032470557848195597
2022-11-07,50,27,23,0.05900052224211874,0.06977068394470572,-0.010770161702586975,-0.02577469699305699,-0.017337363210040663
2022-12-06,24,9,15,-0.01964475349687627,-0.01289784753970633,-0.00674690595716994,-0.024932839052607198,-0.0355848343810817
2023-01-04,4,3,1,0.06745361952616376,0.6567229848644844,-0.5892693653383206,-0.0831160603736438,-0.035028121555967295
2023-02-02,23,13,10,-0.009224601664301014,-0.03861243043459711,0.029387828770296096,0.07226994119700579,0.07244797828531964
2023-03-03,18,9,9,0.035448114043421186,0.015693720414563763,0.019754393628857423,0.052174385096486406,0.045036554636881825
2023-04-03,30,12,18,-0.006651664189376627,0.005248795291261876,-0.011900459480638503,-0.031296214334843676,-0.029988872319791686
2023-05-02,26,11,15,0.13324567450605487,-0.010806242046921067,0.14405191655297594,0.19229036684998754,0.17914998249697242
2023-05-31,30,16,14,0.026274424097194805,0.07825773493818322,-0.051983310840988416,-0.17875703116170633,-0.17383450357978003
2023-06-29,14,5,9,0.040974535366944155,0.014242220467461843,0.02673231489948231,0.06587764185062095,0.07792548099121632
2023-07-28,31,8,23,-0.042885619936756866,-0.027788377224330262,-0.015097242712426604,-0.030428510499164552,-0.02791318375087546
2023-08-28,23,11,12,-0.016742731352343842,-0.016836381842096237,9.365048975239557e-05,-0.0250945471169472,-0.02249865854150128
2023-09-26,8,3,5,-0.04660475685059925,0.008372121146754253,-0.0549768779973535,-0.09026900344554496,-0.08084325454346178
2023-10-25,30,4,26,0.07006391512898014,0.0828888834700016,-0.012824968341021467,0.0779676732462464,0.11377205440331305
2023-11-23,43,22,21,0.03218012120603903,0.09662179585050289,-0.06444167464446385,-0.20838722375650445,-0.19010500939393038
2023-12-22,21,12,9,0.047254627489236804,-0.017303143223117642,0.06455777071235444,0.16460995528646366,0.15097436767230182
2024-01-22,4,4,0,0.033005679969023316,,,0.004569580010662357,0.0013003197032021583
2024-02-20,53,20,33,0.056933573560577856,0.03348230180622296,0.023451271754354894,0.12089793641054886,0.12534021981162224
2024-03-20,31,13,18,-0.01582526280271101,-0.020072093132974946,0.004246830330263938,0.008433038441294224,0.009726783839140586
2024-04-18,17,6,11,0.1271823096445619,0.08494961494849702,0.042232694696064874,-0.026208698650929965,-0.02695276705784596
2024-05-17,46,18,28,0.0057501722807786265,0.001574460372918668,0.004175711907859959,0.00990437626538705,-0.0038034475174122144
2024-06-17,39,18,21,0.03206834337148468,0.055806169097676654,-0.02373782572619197,-0.11697227988803269,-0.11945886810396453
2024-07-16,29,14,15,-0.09636485553596841,-0.00815246963922532,-0.08821238589674309,-0.15380302297773624,-0.16080561694613568
