date,l1_repro,gain,extra_turnover,conf,tic,proj_displacement,proj_displacement_k,l1_w0_wk,turnover_0,drift_gap,solver_opt,status_opt,solver_proj0,status_proj0,solver_projk,status_projk
2021-07-23,1.3436108779303954e-09,8.573089197627868e-06,2.950791694322774e-11,0.2,-0.0766195068856121,0.021970833918973393,0.021970833948483412,0.0019539143395994477,0.03244120092546603,9.841898529130069e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-08-23,2.2031520385809698e-09,-5.851403931798734e-05,2.572275660844489e-05,0.2,-0.12709819600591496,0.020246575154880788,0.02024657515865163,0.003040214893503912,0.028344015624376533,9.532231390140187e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-09-21,7.389452013959172e-10,4.188363373016155e-06,3.26788273103118e-05,0.2,-0.03124064113703536,0.008610460868018659,0.00861046086801514,0.002227707129877936,0.014059207016141054,6.283955136752616e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-10-20,2.4858376763925286e-09,5.9068456527767945e-05,3.0959088497511944e-05,0.2,-0.04888577226158805,0.007661465360191685,0.007661465342175999,0.0021039627641155647,0.020832316837234802,8.735973884337692e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2021-11-18,1.0032523092995221e-05,0.00026983206412440334,0.006517002982703551,0.2,-0.015196789087361218,0.0644330057833396,0.0709508294893742,0.016468532413019897,0.07375822659864129,5.199829537028625e-18,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal_inaccurate
2021-12-17,4.106154289481668e-06,-0.0001815012604692098,0.006122496788965315,0.2,-0.06750305723601299,0.04583656458826201,0.051699137016719424,0.01597267608490591,0.05595385731641732,1.3077685895014535e-16,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2022-01-17,8.119569627258279e-08,1.5922016865217055e-06,-0.00020102034284633086,0.5195718951864664,0.010782875807458653,0.040996076707643714,0.0408773890833886,0.0032650439519813375,0.07928641791969854,1.6682358985133676e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal_inaccurate
2022-02-15,1.4985147244445303e-09,-6.227284003710371e-05,0.00015223715566439755,1.0,0.05382575202826739,0.014311133281554828,0.014311133273656814,0.0021088843754310683,0.07460059871763827,4.964805284276774e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-03-16,2.189240835457403e-10,3.100864722417675e-05,1.8067014995303693e-05,0.2,-0.009275057205387743,0.017525094980488647,0.017525093792087505,0.002399207025767835,0.02840080916402047,1.4662344414015813e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-04-14,7.473661774220455e-10,2.4541301090062646e-05,-3.0011063008098665e-05,0.2,-0.04232223380474631,0.011287827372327629,0.011287827937498714,0.0012502839748876242,0.026186305146463203,9.541657690282421e-18,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-05-13,9.433078617946337e-06,-1.4168855563438432e-05,-0.00046466582218527425,0.2,-0.030255903520093358,0.02916203015129802,0.02868292378423027,0.0054621335800610635,0.03969934463661242,9.313183938252353e-17,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2022-06-13,4.6469988116028475e-06,8.890941585525645e-05,-0.0009628400957769345,0.9442152695049655,0.027768610780198624,0.0269192698742903,0.026409206285558436,0.0038293927586884723,0.0888579397403012,8.733621257619571e-16,ECOS,optimal,ECOS,optimal_inaccurate,ECOS,optimal
2022-07-12,8.989897878955308e-10,-0.0001126406423625209,8.773356971469859e-10,0.2,-0.04086028139131418,0.019981249473362037,0.01998125035069773,0.0025728096626175395,0.023930105484700266,3.696521927900689e-16,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-08-10,2.996854803388566e-10,5.284198364682527e-05,-3.490404215655829e-10,0.2,-0.033691067402919,0.03153133094522942,0.03153133059618899,0.0032785928484964817,0.05065857514578305,1.2487661631171287e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-09-08,1.546265754494069e-08,2.226031471349018e-06,1.1825257629768243e-05,0.2,-0.028661429804297422,0.012056732427067318,0.012056732427068844,0.0003934251040490464,0.024086864774443613,1.0041312840410512e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-10-07,2.0426090682323466e-07,-1.7661718817076868e-05,2.1823375883744944e-05,1.0,0.05448366444406585,0.007286588633395042,0.00728658863339501,0.0005125932427383517,0.0674463218540175,3.6191099341787996e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-11-07,5.324530373151276e-10,-0.00014788038629597616,1.0148134277354615e-09,0.2,-0.010609255495657444,0.06777364113754239,0.06777364215235579,0.005532595553464646,0.08392858169821324,4.086983776902266e-19,ECOS,optimal,ECOS,optimal,ECOS,optimal
2022-12-06,2.711073552362413e-11,8.397301472485972e-05,-1.592430076691187e-10,0.2,-0.0053688230179850015,0.0578353032682771,0.05783530310903409,0.008389659049721027,0.07093662984282088,3.1425091421115266e-17,ECOS,optimal,ECOS,optimal,ECOS,optimal
