date,portfolio_ret,benchmark_ret,sp500_ret,portfolio_cum,benchmark_cum,sp500_cum,drawdown,portfolio_local_gross_ret,portfolio_fx_effect,portfolio_usd_gross_ret,benchmark_local_ret,benchmark_fx_effect,benchmark_usd_gross_ret,active_local_gross_ret,active_fx_effect,active_usd_gross_ret
2025-08-15,-0.0006705485064066059,-0.001431540807356367,-0.002897098881664117,4.576778474823623,3.330477891140232,2.4125381061923745,-0.0020577377367505534,-0.0012877033,0.0006171548,-0.0006705485,-0.0018641219,0.0004325811,-0.0014315408,0.0005764187,0.0001845736,0.0007609923
2025-08-18,0.0019956082468715382,0.0002695506018613618,-0.0001007783187076949,4.5859119316920856,3.3313756234602745,2.4122949746582143,-6.623592827637026e-05,0.002588131,-0.0005925228,0.0019956082,0.000672428,-0.0004028774,0.0002695506,0.0019157031,-0.0001896454,0.0017260576
2025-08-19,-0.013357402925885784,-0.008617638788307255,-0.005858136343549147,4.524656058237847,3.302667031669122,2.398163421795808,-0.013422754114180036,-0.0132942338,-6.31691e-05,-0.0133574029,-0.0085198946,-9.77442e-05,-0.0086176388,-0.0047743392,3.45751e-05,-0.0047397641
2025-08-20,-0.0052634023031222,-0.0030765621652922856,-0.002431617579394141,4.5008409731200825,3.2925061712349306,2.392332005461109,-0.01861550706238324,-0.0053912753,0.000127873,-0.0052634023,-0.0031296879,5.31257e-05,-0.0030765622,-0.0022615874,7.47473e-05,-0.0021868401
2025-08-21,-0.003256454584529792,-0.004483908716334589,-0.00400420277120217,4.486184188898926,3.2777428741151446,2.382752623015206,-0.021811341093596504,-0.0024631764,-0.0007932782,-0.0032564546,-0.0039205063,-0.0005634024,-0.0044839087,0.0014573299,-0.0002298758,0.0012274541
2025-08-22,0.016347018404541915,0.014857282065394238,0.01518640789806236,4.559519924401021,3.3264412245337094,2.418938076268493,-0.00582087308333934,0.0147530492,0.0015939692,0.0163470184,0.013610518,0.0012467641,0.0148572821,0.0011425313,0.0003472051,0.0014897363
2025-08-25,-0.0015310115541160938,-0.0033217753161607884,-0.00426633430803891,4.552539246715541,3.315391534183394,2.4086180777646873,-0.007342972813509818,-0.0003459805,-0.001185031,-0.0015310116,-0.0024026786,-0.0009190967,-0.0033217753,0.0020566981,-0.0002659343,0.0017907638
2025-08-26,0.004891884843484188,0.0038586517698182493,0.004133976879546308,4.574809744455916,3.328184475594411,2.4185752492098236,-0.0024870089474381407,0.0045439312,0.0003479536,0.0048918848,0.003605042,0.0002536097,0.0038586518,0.0009388892,9.43439e-05,0.0010332331
2025-08-27,0.002505391403262233,0.0023492311891892582,0.002390990327779008,4.586271433461236,3.336003150367853,2.4243580392376898,0.0,0.0025026349,2.7565e-06,0.0025053914,0.0023245543,2.46769e-05,0.0023492312,0.0001780806,-2.19204e-05,0.0001561602
2025-08-28,0.006728717329801723,0.0048108173478113945,0.003156725398833604,4.6171311575347405,3.3520520521959964,2.4320110718360177,0.0,0.006176035,0.0005526824,0.0067287173,0.0043997821,0.0004110352,0.0048108173,0.0017762528,0.0001416471,0.0019179
2025-08-29,-0.00882318579699572,-0.008844801622465443,-0.006398169139292365,4.5763933514827135,3.3224038167661445,2.416450653649779,-0.008823185796995703,-0.0087861551,-3.70307e-05,-0.0088231858,-0.0088198405,-2.49611e-05,-0.0088448016,3.36854e-05,-1.20696e-05,2.16158e-05
2025-09-01,-0.0010081044611223136,8.156698122787072e-06,,4.571779868929234,3.3224309166111197,2.416450653649779,-0.009822395565154629,-0.0011338943,0.0001821733,-0.000951721,-0.0001640694,0.0001722261,8.1567e-06,-0.0009698249,9.9472e-06,-0.0009598777
