ticker,date,d_log_shares,d_log_unadj_adj,tg_un_before,tg_un_after,log_ratio_jump,n_before,n_after
NESN,2025-04-22,-0.012,-0.035,1.131,1.127,-0.003,128,129
ENEL,2024-01-22,-0.001,-0.033,1.23,1.227,-0.003,128,130
ALV,2017-05-04,0.009,-0.044,1.034,1.037,0.003,128,129
ZURN,2017-03-31,-0.001,-0.062,0.99,0.988,-0.002,129,129
PGR,2026-01-02,0.0,-0.062,1.174,1.177,0.002,129,129
ZURN,2025-04-11,0.011,-0.051,0.961,0.963,0.002,129,129
ZURN,2023-04-12,0.008,-0.054,1.09,1.093,0.002,128,129
UCG,2023-09-13,-0.086,0.0,1.324,1.322,-0.002,128,129
CS,2024-04-30,-0.005,-0.06,1.142,1.14,-0.002,128,129
DTE,2024-04-11,-0.002,-0.035,1.201,1.203,0.002,128,129
ZURN,2024-04-12,-0.004,-0.057,0.994,0.993,-0.001,129,129
ALV,2024-05-09,0.003,-0.052,1.077,1.078,0.001,128,129
MUV2,2024-04-26,-0.003,-0.036,1.054,1.056,0.001,129,129
NESN,2018-04-16,0.002,-0.031,1.074,1.074,0.0,128,130
NOVN,2023-03-09,0.01,-0.042,1.106,1.106,-0.0,128,129
