date,hist_rows,hist_has_nan,v_base,v_rmt,realized,n_replaced,replaced_share,lambda_plus,sigma_bar_sq,q,floor_ref,floor_share,exq_base,exq_rmt
2020-02-11,126,True,3.892974946481324e-06,3.4248606111144816e-06,5.243964636092388e-06,194,0.97,0.0013161226961990124,0.00025770628786263175,1.5873015873015872,1.7377694741163107e-08,1.4355448155516187e-06,0.04912853218337365,0.10512983032128531
2020-03-11,126,True,2.733917084895054e-06,1.8033537138149957e-06,3.282234125850208e-05,194,0.97,0.0021708529192938143,0.00042506861172035614,1.5873015873015872,3.2764552378590255e-08,4.647432879401975e-06,8.520235612383349,14.29926159880588
2020-04-09,126,True,3.980510086203205e-06,3.573558782149264e-06,4.819249192314512e-06,197,0.985,0.006082185671764804,0.0011909356901818704,1.5873015873015872,1.0243279157384576e-07,1.3404322892821561e-05,0.019503290340182167,0.049529208251613444
2020-05-08,126,True,5.036678331959497e-06,4.150032651397821e-06,4.395828739437519e-06,197,0.985,0.006590574810663757,0.001290481939292005,1.5873015873015872,1.1231668365879319e-07,9.267504876954621e-06,0.008854172582745568,0.0016876315386351592
2020-06-08,126,True,5.4814679009997496e-06,4.391837226299944e-06,1.8475104280703787e-06,197,0.985,0.006999188835652463,0.0013704915036377636,1.5873015873015872,1.2129723461878944e-07,1.403314715632572e-05,0.424580568366816,0.28657777276104346
2020-07-07,126,True,5.085444778528687e-06,4.1357210272252635e-06,4.499882075458261e-06,197,0.985,0.007368251594695807,0.001442756645707025,1.5873015873015872,1.2664714015351666e-07,1.7424890288321737e-05,0.00718646781491894,0.003663108299383211
2020-08-05,126,True,5.668715489400607e-06,4.339974372125024e-06,5.46889436996648e-06,197,0.985,0.007488727536247846,0.0014663467013787319,1.5873015873015872,1.276383878640574e-07,1.8508386171960088e-05,0.0006362714642274003,0.028913324397547235
2020-09-03,126,True,4.277044055305153e-06,3.0268895532495485e-06,4.103180428455506e-06,195,0.975,0.006788486227413739,0.0013292344178288237,1.5873015873015872,1.1674788344361227e-07,1.6724129989056348e-05,0.0008493248719421143,0.051349682000543684
2020-10-02,126,True,3.4786882799629848e-06,1.7895472782352803e-06,1.9126660196280173e-06,195,0.975,0.0029964515483212693,0.000586726759980852,1.5873015873015872,4.646231066071021e-08,7.091181566854142e-06,0.1479811190962257,0.0022634002536456865
2020-11-02,126,True,3.226388707671209e-06,1.7730367943342075e-06,2.9063144542294643e-06,195,0.975,0.0026735315439782243,0.0005234967010842402,1.5873015873015872,4.096287711451789e-08,3.732066098840944e-06,0.0052725845800720705,0.14498124446095817
2020-12-01,126,True,4.0916857016414545e-06,2.0638614400547613e-06,3.640867019456957e-06,194,0.97,0.002785452394245592,0.0005454116083646412,1.5873015873015872,4.1139576940672036e-08,2.2559860607706457e-06,0.006555985598163394,0.19646125463074382
2020-12-30,126,True,4.710686348467151e-06,2.552102388386579e-06,3.4439434160148825e-06,194,0.97,0.0025730775428470317,0.0005038270853202751,1.5873015873015872,3.5537410635491704e-08,2.5042665313866618e-06,0.0443081039487343,0.0497537957650267
2021-01-28,126,True,4.891510622588476e-06,2.975954949204138e-06,3.1132273615551574e-06,193,0.965,0.002564044390834645,0.0005020583292008541,1.5873015873015872,3.5091762908667635e-08,3.883537466021498e-06,0.08829644955250249,0.0010322347908364726
2021-02-26,126,True,3.9437993993446275e-06,2.7925040521507865e-06,9.849398995246099e-06,194,0.97,0.0025923773649991298,0.0005076061292784033,1.5873015873015872,3.5768360328848976e-08,5.5355240139017356e-06,0.5821732794073933,1.2666132083028714
2021-03-29,126,True,4.087886488328438e-06,3.5334263819346096e-06,4.103668353731979e-06,193,0.965,0.0027231365995159904,0.0005332097276575045,1.5873015873015872,3.67489534987859e-08,5.676208955747193e-06,7.433152492408723e-06,0.011771739810605641
