date,sum,min,max,n_pos,n_neg,n_nan,top5_sum,n_ge_0_15,l1_vs_prev
2021-02-25,1.0,-4.895114705974746e-17,0.06142673610393677,236,0,0,0.23002461652506884,0,0.13999907579333762
2021-03-26,1.0000000000000007,1.5780620378255969e-19,0.0611215274980232,237,0,0,0.23504866904249877,0,0.11090584974744128
2021-04-26,1.0000000000000002,8.175236006741055e-19,0.06347935355856689,238,0,0,0.2483990803861091,0,0.1008045306447298
2021-05-25,0.9999999999999998,3.1556240368238096e-17,0.05932241215285273,238,0,0,0.23489263907741803,0,0.0700809506485665
2021-06-23,1.0000000000000002,6.906077350158758e-17,0.06041567497957573,238,0,0,0.24078261390119732,0,0.05849464742209587
2021-07-22,1.0000000000000007,1.8677572877283453e-17,0.06488205882395731,238,0,0,0.24850330949108723,0,0.05826277736428137
2021-08-20,0.9999999999999983,1.8134253475056795e-18,0.06445205435053535,238,0,0,0.24738924183311709,0,0.06919161932912496
2021-09-20,1.0000000000000002,-1.3029960642757867e-16,0.062437776904375165,238,0,0,0.2501152981095882,0,0.06318649993983505
2021-10-19,1.0000000000000067,-1.6131900183532257e-15,0.06154264549184305,239,0,0,0.25155674019780855,0,0.07836109719543646
2021-11-17,1.0000000000000093,-2.426796401760773e-15,0.05982036284631603,239,0,0,0.2575897360516636,0,0.1015248748042758
2021-12-16,1.0000000000000002,1.0067028843124802e-16,0.06909463419078406,239,0,0,0.2584043777277309,0,0.08113899394708854
2022-01-14,0.9999999999999997,1.5350085954804387e-17,0.06911519523308426,239,0,0,0.2586104121548004,0,0.12348972485668587
2022-02-14,0.9999999999999997,1.6714583367549172e-16,0.0716571637459973,240,0,0,0.25919416762196856,0,0.10575156827589897
2022-03-15,1.0000000000000004,1.9756874885279125e-17,0.05784311631620186,240,0,0,0.24994352865580763,0,0.12343062428648141
2022-04-13,0.9999999999999987,3.8575700820287317e-16,0.0649841377746912,240,0,0,0.2531118835384806,0,0.0851940112918927
2022-05-12,1.0000000000000002,-4.4725263568989404e-17,0.054739633000225545,240,0,0,0.2464455262264626,0,0.15083511994898907
