date,c,m,h,turnover,S,g,contrib,mu_sd,bm_fwd
2024-06-17,5.48e-05,177,88,0.08640839414528688,0.11225298301101527,0.016042522246298287,7.736345928054887e-05,0.9451704644488251,0.03417325789664114
2024-07-16,-1.2e-06,168,84,0.0563834412501306,0.0035755178387508056,-0.02824234735852317,-2.8468286137391357e-06,0.8280591503917157,-0.04445153607386875
2024-09-12,6.92e-05,96,48,0.03603710492362205,0.18434333207619663,0.017914723308791063,5.9505544942480396e-05,0.9105925786521819,0.03920344575637945
2024-11-11,2.3e-05,186,93,0.02937184600488702,0.14564968096619485,0.005589225668418735,1.1955353704747674e-05,0.9785869093968668,0.014954184140446827
2025-01-08,-4e-07,7,3,0.06811557420979339,4.1106604950229236e-05,-0.008338815695818111,-1.0006578834981732e-08,0.38049920132454645,0.03484850787298897
2025-02-06,3.34e-05,3,1,0.4233127923441543,0.00023670439876179587,0.1566434546679195,5.231891385908512e-06,0.30304106523374436,-0.054754984255913464
2025-03-07,-7.61e-05,175,87,0.04610699388249223,0.2888390432466891,-0.024410511296724346,-0.00016161467214222288,0.9911133085361505,-0.1295099925146519
2025-04-07,-8.37e-05,183,91,0.053074611131044294,0.28859561424164165,0.07793213470256743,0.0005935856903890454,0.9640330435198373,0.12881142059315104
2025-05-06,-5.61e-05,183,91,0.05013806666340176,0.20476058777698897,0.0550586429786747,0.00028107987827043223,0.9469180847747276,0.0734650823388455
2025-06-04,-9.5e-06,181,90,0.07828215666333754,0.02196541425646882,0.04829190417288727,4.128957806781862e-05,0.9452555749187622,0.05488325915213481
2025-07-03,-8.2e-05,184,92,0.04077208940458293,0.37005707140198846,0.00432862900415747,3.2655177207363954e-05,0.9477057450986259,-0.006549911267419668
2025-08-01,-6.84e-05,176,88,0.07256012645405549,0.16590930292304026,-0.005423404747290119,-3.264455785488868e-05,0.9225607777519124,0.03576739239697409
2025-09-01,-6.66e-05,173,86,0.07136727726177894,0.16144373783151947,0.06565749390738654,0.00037605986210394713,0.9482133124483976,0.05109870168661261
2025-09-30,4.78e-05,2,1,0.06605149184297773,0.0014473556513646517,0.03447734896978972,1.6480172807559487e-06,0.3198417180018692,0.047241914911548326
2025-10-29,2e-07,3,1,0.07694033093694647,7.798250835335076e-06,0.060306166793581584,1.2061233358716317e-08,0.6449631180933786,-0.01903251000353764
2025-11-27,1e-07,4,2,0.071707622863255,5.578207504699912e-06,-0.04247420360494164,-8.494840720988328e-09,1.2984034532874986,0.02155803999685699
2025-12-26,7.8e-05,2,1,0.06589673741860194,0.0023673402676831594,-0.06003482522177728,-4.682716367298627e-06,0.1482093839171097,0.011136697402100229
2026-01-26,0.0003327,2,1,0.08940719713459155,0.007442353874468541,-0.3277384646984475,-0.00010903858720517348,0.6721026414842923,0.0005941742701952965
2026-02-24,1e-07,9,4,0.07053211111203644,1.2760145496997795e-05,0.14914612725565007,5.965845090226003e-08,1.2476025412027791,-0.046505941908232235
2026-03-25,0.0001438,4,2,0.04200240923881098,0.013694452542700927,-0.17153159874013074,-4.93324877976616e-05,0.6135504672730887,0.08904168035654202
2026-04-23,0.0002746,2,1,0.05535169973206408,0.009922007863506672,-0.05439141642005052,-1.4935882948945872e-05,0.1918208953678167,0.07184622578074183
2026-05-22,7.39e-05,2,1,0.06776715725516154,0.002180997491801129,0.37311789677345497,2.757341257155832e-05,0.3970319451867426,0.02283492678457272
2026-06-22,-0.0,25,12,0.14999999824860846,0.0,-0.11511339812316397,-0.0,0.9496946082992195,-0.02006226623957757
2026-07-21,-6.41e-05,84,42,0.052429020787023925,0.10269884730200088,0.036138473085562936,9.729199724095254e-05,1.0252345526617872,0.021340357676671473
