date,sub,n_valid,share_sig,state,ic
2021-11-18,P2,189,0.07936507936507936,-0.026860942017957967,0.1709633376030889
2021-12-17,P2,189,0.047619047619047616,-0.023725032651758404,-0.15337990365985887
2022-01-17,P2,190,0.05263157894736842,-0.021531572582982328,-0.1482216178744734
2022-02-15,P2,190,0.042105263157894736,-0.004414381229149278,0.2479087790397981
2022-03-16,P2,190,0.03684210526315789,-0.008738844300604676,0.022701605672120966
2022-04-14,P2,190,0.031578947368421054,-0.012205818441398897,-0.042356327117969446
2022-05-13,P2,190,0.031578947368421054,-0.02208276389644137,0.020526884401229954
2022-06-13,P2,190,0.021052631578947368,-0.02700416283888618,0.012065941467980597
2022-07-12,P2,191,0.015706806282722512,-0.02136950029786089,0.07827509436768186
2022-08-10,P2,191,0.02617801047120419,-0.0256352394489614,0.06183609110035124
2022-09-08,P2,191,0.041884816753926704,-0.020813810570266433,0.1053742558840382
2022-10-07,P2,191,0.020942408376963352,-0.015272803002835289,0.010631372278864699
2022-11-07,P2,191,0.04712041884816754,-0.019885826595297473,-0.013676288233673187
2022-12-06,P2,192,0.041666666666666664,-0.01908381781460733,-0.03994729953155139
2023-01-04,P2,192,0.041666666666666664,-0.04027236044367655,0.04849131992284376
2023-02-02,P2,192,0.026041666666666668,-0.018359736829305362,0.2394253723245531
2023-03-03,P2,192,0.052083333333333336,-0.012171899492806837,-0.20944103843962789
2023-04-03,P2,192,0.057291666666666664,0.013738528783624915,0.041995022108889675
2023-05-02,P2,192,0.07291666666666667,0.02272165476952992,-0.12399458806933783
2023-05-31,P2,192,0.09895833333333333,0.03264305248809318,-0.016159495971570414
2023-06-29,P2,192,0.078125,0.03647383071722832,-0.01158173507310854
2023-07-28,P2,192,0.015625,0.07999448020582012,0.08574654802918917
2023-08-28,P2,192,0.015625,0.07979277490303183,0.040586089032363076
2023-09-26,P2,192,0.020833333333333332,0.07498464416269446,0.01567967881073163
2023-10-25,P2,193,0.025906735751295335,0.02721675217624764,0.01505405148794184
2023-11-23,P3,193,0.031088082901554404,0.0342666817373809,-0.11603776144101133
2023-12-22,P3,193,0.025906735751295335,0.040261156804533904,0.16739724106618234
2024-01-22,P3,193,0.015544041450777202,0.04302494527775469,-0.11541183697452058
2024-02-20,P3,193,0.015544041450777202,0.03265907161584192,0.21840947331873295
2024-03-20,P3,193,0.015544041450777202,0.01450749588476441,0.03437316382671866
2024-04-18,P3,193,0.031088082901554404,0.005212952630780698,-0.042752790983387634
2024-05-17,P3,193,0.025906735751295335,0.009711940318978485,-0.08007885529619145
