,spearman_ic
2019-03-11,-0.045557488605842425
2019-03-12,-0.02305324836488098
2019-03-13,-0.03012109135537756
2019-03-14,0.0024292845557478526
2019-03-15,0.008569212145705107
2019-03-18,0.1266955927678207
2019-03-19,0.07489224550543913
2019-03-20,0.07324929540547213
2019-03-21,-0.03974248419126612
2019-03-22,-0.03310855114657608
2019-03-25,0.002473082977507667
2019-03-26,0.0036790674278244207
2019-03-27,-0.0022754807956145502
2019-03-28,-0.05594484453855379
2019-03-29,-0.07222970888962157
2019-04-01,-0.03295780309028648
2019-04-02,-0.023712261827174
2019-04-03,-0.01867035048505582
2019-04-04,-0.009403419295037388
2019-04-05,-0.0034183140331613382
2019-04-08,-0.012602741219399655
2019-04-09,0.05611087111406193
2019-04-10,0.015185829535280809
2019-04-11,-0.029388741000835546
2019-04-12,-0.08900660848016685
2019-04-15,-0.03329446862965366
2019-04-16,-0.06472096774458418
2019-04-17,0.003984458419627554
2019-04-18,-0.027015279939213
2019-04-22,-0.014946811684057865
2019-04-23,-0.04619608795517059
2019-04-24,-0.08730262102207971
2019-04-25,-0.14786598159158218
2019-04-26,-0.17032235665189618
2019-04-29,-0.16217112435836872
2019-04-30,-0.11981079059755328
2019-05-01,-0.07094311919793407
2019-05-02,-0.14571791850185967
2019-05-03,-0.19474549786975126
2019-05-06,-0.15843314828474062
2019-05-07,-0.09902886585469016
2019-05-08,-0.06606541690458122
2019-05-09,-0.13249546471770707
2019-05-10,-0.13958030438205504
2019-05-13,-0.12163496366236742
2019-05-14,-0.06087706537350177
2019-05-15,0.005771737330313025
2019-05-16,0.02726272540282672
2019-05-17,0.08476927293793601
2019-05-20,0.10532631304293656
2019-05-21,-0.016207103606365125
2019-05-22,0.005980526134391756
2019-05-23,0.0012710654999524714
2019-05-24,0.05730285114088613
2019-05-28,0.08586210409294323
2019-05-29,0.056656115089227625
2019-05-30,0.05625381471063691
2019-05-31,0.144912670296264
2019-06-03,0.1723414082603826
2019-06-04,0.07731296642739752
2019-06-05,0.003283585874877218
2019-06-06,0.0874957491746129
2019-06-07,0.09756140649515
2019-06-10,0.16231750870066128
2019-06-11,0.3029148708853078
2019-06-12,0.23868532385886335
2019-06-13,0.2055479944466409
2019-06-14,0.16992455054292488
2019-06-17,0.16075210191105632
2019-06-18,0.10828907709691232
2019-06-19,0.14478739701381677
2019-06-20,0.11201264718331155
2019-06-21,0.17859285059909116
2019-06-24,0.22298644275608498
2019-06-25,0.2979589376138585
2019-06-26,0.26519539108503554
2019-06-27,0.2928879158796731
2019-06-28,0.2449866718141566
2019-07-01,0.23911716021461646
2019-07-02,0.2212438201035059
2019-07-03,0.05544921395345546
2019-07-05,-0.002897581207824344
2019-07-08,0.1301986612595546
2019-07-09,0.07843940748745155
2019-07-10,0.10625618708256525
2019-07-11,0.060902166426809234
2019-07-12,-0.05654917448226047
2019-07-15,0.06314078979932168
2019-07-16,-0.022482989512380452
2019-07-17,0.03304261058890868
2019-07-18,0.04515745363533067
2019-07-19,0.07732009580119532
2019-07-22,0.011570973673846175
2019-07-23,0.004223644734217066
2019-07-24,-0.0016275341898429883
2019-07-25,-0.10688051653085923
2019-07-26,-0.057615525106018674
2019-07-29,-0.08481204918072288
2019-07-30,-0.07331542469076816
2019-07-31,0.01622543628184521
2019-08-01,0.12615121390634054
2019-08-02,0.024466992392113956
2019-08-05,0.1118221910547129
2019-08-06,-0.07780794866535978
2019-08-07,-0.027598824453294923
2019-08-08,-0.10662895148399361
2019-08-09,-0.11501411355218968
2019-08-12,-0.03187848569592336
2019-08-13,-0.1330697619361299
2019-08-14,-0.03093333442672793
2019-08-15,-0.11955552466139487
2019-08-16,-0.11092083451027542
2019-08-19,-0.16409068581237382
